V1 V2 pop country continent lang
Aymara399 2111 833 Aymara Chile AMERICA Aymaran
Aymara401 2112 833 Aymara Chile AMERICA Aymaran
Aymara403 2113 833 Aymara Chile AMERICA Aymaran
Aymara405 2114 833 Aymara Chile AMERICA Aymaran
Aymara407 2115 833 Aymara Chile AMERICA Aymaran
Aymara409 2116 833 Aymara Chile AMERICA Aymaran
Aymara411 2118 833 Aymara Chile AMERICA Aymaran
Aymara413 2119 833 Aymara Chile AMERICA Aymaran
Aymara415 2120 833 Aymara Chile AMERICA Aymaran
Huilliche417 2121 834 Huilliche Chile AMERICA Araucanian
Huilliche419 2122 834 Huilliche Chile AMERICA Araucanian
Huilliche421 2123 834 Huilliche Chile AMERICA Araucanian
Huilliche423 2124 834 Huilliche Chile AMERICA Araucanian
Huilliche425 2125 834 Huilliche Chile AMERICA Araucanian
Huilliche427 2126 834 Huilliche Chile AMERICA Araucanian
Huilliche429 2127 834 Huilliche Chile AMERICA Araucanian
Huilliche431 2128 834 Huilliche Chile AMERICA Araucanian
Huilliche433 2129 834 Huilliche Chile AMERICA Araucanian
Huilliche435 2130 834 Huilliche Chile AMERICA Araucanian
Huilliche437 2131 834 Huilliche Chile AMERICA Araucanian
Huilliche439 2132 834 Huilliche Chile AMERICA Araucanian
Huilliche441 2133 834 Huilliche Chile AMERICA Araucanian
Huilliche443 2134 834 Huilliche Chile AMERICA Araucanian
Huilliche445 2135 834 Huilliche Chile AMERICA Araucanian
Huilliche447 2136 834 Huilliche Chile AMERICA Araucanian
Huilliche449 2137 834 Huilliche Chile AMERICA Araucanian
Huilliche451 2138 834 Huilliche Chile AMERICA Araucanian
Huilliche453 2139 834 Huilliche Chile AMERICA Araucanian
Huilliche455 2140 834 Huilliche Chile AMERICA Araucanian
Guarani457 2722 835 Guarani Brazil AMERICA Tupi
Guarani459 2723 835 Guarani Brazil AMERICA Tupi
Guarani461 2724 835 Guarani Brazil AMERICA Tupi
Guarani463 2725 835 Guarani Brazil AMERICA Tupi
Guarani465 2726 835 Guarani Brazil AMERICA Tupi
Guarani467 2727 835 Guarani Brazil AMERICA Tupi
Guarani469 2728 835 Guarani Brazil AMERICA Tupi
Guarani471 2729 835 Guarani Brazil AMERICA Tupi
Guarani473 2730 835 Guarani Brazil AMERICA Tupi
Guarani475 2731 835 Guarani Brazil AMERICA Tupi
Ache477 2734 836 Ache Paraguay AMERICA Tupi
Ache479 2735 836 Ache Paraguay AMERICA Tupi
Ache481 2736 836 Ache Paraguay AMERICA Tupi
Ache483 2737 836 Ache Paraguay AMERICA Tupi
Ache485 2738 836 Ache Paraguay AMERICA Tupi
Ache487 2739 836 Ache Paraguay AMERICA Tupi
Ache489 2741 836 Ache Paraguay AMERICA Tupi
Ache491 2742 836 Ache Paraguay AMERICA Tupi
Ache493 2743 836 Ache Paraguay AMERICA Tupi
Ache495 2744 836 Ache Paraguay AMERICA Tupi
Ache497 2745 836 Ache Paraguay AMERICA Tupi
Ache499 2746 836 Ache Paraguay AMERICA Tupi
Ache501 2747 836 Ache Paraguay AMERICA Tupi
Ache503 2748 836 Ache Paraguay AMERICA Tupi
Ache505 2749 836 Ache Paraguay AMERICA Tupi
Ache507 2750 836 Ache Paraguay AMERICA Tupi
Ache509 2751 836 Ache Paraguay AMERICA Tupi
Ache511 2752 836 Ache Paraguay AMERICA Tupi
Ache513 2753 836 Ache Paraguay AMERICA Tupi
Kaingang515 2754 837 Kaingang Brazil AMERICA Macro-Ge
Kaingang517 2755 837 Kaingang Brazil AMERICA Macro-Ge
Kaingang519 2756 837 Kaingang Brazil AMERICA Macro-Ge
Kaingang521 2757 837 Kaingang Brazil AMERICA Macro-Ge
Kaingang523 2758 837 Kaingang Brazil AMERICA Macro-Ge
Kaingang525 2759 837 Kaingang Brazil AMERICA Macro-Ge
